Position,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted
QB,Ohio State,77,253,4.81,36,,,,,Y
LB,Florida,73,230,,,,,,,Y
S,Jacksonville State,73,199,4.56,40.5,17,122,7,4.28,Y
RB,Florida State,73,230,4.48,33.5,16,117,7.16,4.46,Y
RB,Arkansas,71,220,4.56,,16,,,,Y
OLB,Boston Col.,73,223,4.67,35,24,126,,,Y
OG,Virginia Tech,76,314,5.24,29,30,114,7.45,4.84,Y
QB,Georgia,74,219,5.01,30,,111,7.27,4.51,Y
QB,Pittsburgh,74,226,4.82,31,,110,7.14,4.31,Y
WR,Clemson,69,190,4.53,34.5,13,113,,,Y
K,Georgia Southern,70,185,,,,,,,Y
WR,TCU,73,197,4.39,35.5,15,129,,,Y
TE,Florida State,75,252,4.93,30.5,21,110,7.4,4.5,Y
ILB,Boise State,73,228,4.67,33.5,,121,,4.39,Y
WR,Oregon State,76,210,4.61,36.5,9,124,7.01,4.12,Y
CB,USC,71,186,4.39,35,12,124,,4.18,Y
TE,Boston Col.,76,251,4.83,,17,,,,Y
CB,Pittsburgh,73,187,4.57,35,,122,7.07,4.27,Y
EDGE,Florida State,77,249,4.53,36,,129,7.01,,Y
WR,Maryland,73,210,4.42,39.5,15,132,6.95,4.07,Y
OLB,Washington,73,228,4.64,33.5,,117,6.99,4.08,Y
DT,Louisiana Tech,76,323,5.33,29.5,26,104,7.82,4.76,Y
DL,Auburn,77,326,5.16,27,28,108,8.22,4.79,Y
RB,Stanford,71,202,4.48,37.5,10,121,6.57,4.22,Y
OT,Mississippi,77,310,5.33,25,,113,,4.74,Y
DL,Penn State,77,266,,34,20,120,,,Y
WR,Ohio State,71,196,4.31,37,18,119,7.09,4.33,Y
WR,Michigan,76,232,4.7,38.5,17,122,,,Y
CB,LSU,71,175,4.32,,7,124,,,Y
CB,Samford,73,211,4.5,36,16,124,6.91,4.21,Y
OT,West. Michigan,77,319,5.18,30.5,23,109,7.73,4.58,Y
S,Southern Illinois,75,221,4.45,41,20,138,,,Y
QB,West Virginia,74,217,4.84,34,,112,7.09,4.28,Y
CB,West Virginia,73,204,4.64,35.5,14,123,6.98,4.15,Y
DE,Texas A&M,77,266,4.76,36,18,123,7.03,4.38,Y
CB,Tennessee,73,193,4.61,30,8,119,7.16,4.33,Y
TE,Indiana,76,259,4.74,36,,123,7.15,4.2,Y
OT,Oklahoma,77,327,5.34,26,27,97,,5.15,Y
CB,Notre Dame,71,193,4.4,35.5,13,119,6.94,4.26,Y
EDGE,Alabama,75,247,,38.5,,118,,,Y
EDGE,Mississippi,75,235,4.67,32,23,123,7.14,4.45,Y
CB,Oklahoma,71,185,4.5,35.5,19,116,,,Y
CB,Miami (FL),70,183,4.55,,,,,,Y
RB,Florida,71,208,4.47,30,21,116,7.37,4.63,Y
RB,Auburn,70,212,4.53,36.5,,118,7.13,,Y
OT,South Carolina,77,317,5.23,26.5,20,103,7.95,4.92,Y
CB,Florida International,73,192,4.48,34,,127,,,Y
K,Georgia Tech,76,199,,,,,,,Y
ILB,North Carolina,73,237,4.63,,19,,,,Y
WR,Georgia,71,184,4.55,36.5,,117,6.96,,Y
DT,Miami (FL),75,314,5.25,,30,,,,Y
