Position,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted
WR,Auburn,73,190,4.39,40.5,11,135,7,4.15,Y
LB,Penn State,77,233,4.72,35.5,16,123,,,Y
TE,South Carolina,77,247,4.64,32.5,,117,7.05,4.31,Y
WR,Connecticut,74,216,4.49,36.5,23,124,6.86,4.18,Y
OT,Pittsburgh,78,304,5.23,29.5,23,96,8.02,4.94,Y
LB,Minnesota,75,236,4.57,36,,126,,,Y
OG,Florida State,77,329,5.61,,,,,,Y
DL,Syracuse,76,307,5.13,29,28,101,,4.73,Y
OL,Louisville,79,364,5.1,,23,,,,Y
OLB,Ohio State,73,232,4.47,35.5,17,133,7.12,4.2,Y
QB,USC,75,221,4.85,26.5,,105,6.96,4.4,Y
DL,Alabama,75,303,4.83,30.5,,112,,,Y
DT,USC,77,302,4.97,29.5,,106,7.59,4.53,Y
S,LSU,73,214,4.56,31.5,18,120,6.96,4.13,Y
WR,Ohio State,73,196,4.42,39,10,122,,4.15,Y
S,Florida,73,210,,,,,,,Y
QB,Penn State,76,223,4.78,31,,114,7.04,4.33,Y
WR,Baylor,75,207,4.38,38.5,16,131,6.66,4.43,Y
EDGE,Florida,75,258,4.84,32,,,,,Y
S,California,73,202,,,14,,,,Y
DT,Fort Hays State,77,315,5.09,31,,112,7.5,4.53,Y
WR,Alabama,71,204,4.49,34,,124,,,Y
DL,Florida,75,264,4.64,33,29,127,,,Y
OLB,Louisville,76,259,4.85,32,23,112,7.47,4.58,Y
OLB,Georgia,75,259,4.8,36.5,16,121,,,Y
OT,USC,75,308,5.19,,21,,,,Y
QB,Baylor,75,230,4.87,34,,121,6.91,4.13,Y
CB,North Carolina State,73,212,4.53,36.5,19,122,7.1,4.4,Y
RB,Florida,71,216,4.62,35,22,118,7.13,4.31,Y
TE,West Virginia,75,267,4.89,31,24,117,7.18,4.38,Y
QB,Florida International,76,229,4.89,29,,112,7.51,4.64,Y
OL,Charlotte,76,308,5.29,25,26,101,,,Y
WR,California,74,202,4.53,35,11,119,6.74,4.13,Y
TE,Clemson,77,258,,33,18,114,7.12,4.33,Y
OG,Texas A&M,76,330,5.19,29.5,26,102,7.51,4.62,Y
LB,Minnesota,73,237,4.5,37.5,18,124,6.95,4.12,Y
OT,South Carolina,77,324,5.22,30.5,22,112,,,Y
CB,Virginia,73,202,,,11,,,,Y
OLB,West Georgia,75,248,4.75,29.5,26,116,7.02,4.46,Y
CB,Tulane,73,180,4.32,,15,,,,Y
RB,Louisiana,70,214,4.53,36,15,120,7.26,4.56,Y
P,Texas A&M,71,198,4.83,31,,111,7.03,4.13,Y
CB,Rutgers,73,198,,,15,,,,Y
CB,Michigan,75,220,,,20,,,,Y
DT,NW State (LA),76,321,5.12,29.5,35,105,7.92,4.76,Y
WR,Clemson,74,209,4.45,35.5,12,122,6.96,4.46,Y
S,West Virginia,70,205,4.57,,,,,,Y
OT,UCLA,81,309,4.95,31.5,24,121,7.34,4.49,Y
CB,Ohio State,73,195,4.44,37,11,129,6.68,4.18,Y
RB,Alabama,70,220,,,,,,,Y
S,Mississippi State,71,205,4.45,,,116,,,Y
WR,Alabama,73,211,4.42,33,,120,6.71,3.98,Y
EDGE,Clemson,76,264,,,25,,7.26,4.4,Y
DE,Florida State,75,279,4.76,32.5,32,120,7.44,4.55,Y
CB,Clemson,73,199,4.46,34.5,,123,,,Y
DT,Illinois,77,297,5.11,25,20,111,7.38,4.63,Y
S,Connecticut,76,224,4.4,44,17,141,,,Y
OT,North Carolina A&T,80,305,5.4,28.5,,113,7.82,4.68,Y
TE,Miami (FL),76,251,4.79,35,20,120,7.32,4.57,Y
DE,Michigan State,76,251,4.82,35,23,115,6.97,4.25,Y
EDGE,LSU,78,238,,31,,117,7.16,4.25,Y
DT,UCLA,75,305,4.99,28.5,28,111,7.69,4.39,Y
QB,Michigan State,76,217,4.79,33,,113,7.21,4.28,Y
DL,East. Michigan,77,255,4.66,36,,122,6.89,4.13,Y
CB,Wisconsin,71,208,4.52,,17,123,,,Y
OG,Miami (FL),76,323,5.33,26.5,,97,,4.74,Y
OT,Florida,78,343,5.44,20.5,19,97,7.87,4.78,Y
CB,Houston,74,208,4.4,36.5,,133,6.81,4.06,Y
TE,LSU,76,253,4.66,36.5,22,121,7.16,4.11,Y
ILB,Kansas,73,231,4.59,33.5,19,120,6.68,4,Y
RB,Texas Tech,68,204,4.49,34.5,24,116,7.03,4.2,Y
WR,Clemson,70,184,4.59,35,7,116,6.8,4.19,Y
OLB,Florida,74,236,4.65,,22,,,,Y
ILB,Wake Forest,75,240,,31,25,118,,,Y
P,Florida,73,210,,,,,,,Y
OLB,Virginia,77,251,4.83,36.5,,121,7.59,4.37,Y
ILB,Washington,73,240,4.72,32.5,19,115,7.2,4.4,Y
S,Washington State,71,202,4.55,31,12,116,6.87,4.21,Y
WR,Oklahoma State,76,216,4.62,34,13,121,7.07,4.25,Y
OT,LSU,77,326,5.57,24,25,95,8.04,4.9,Y
RB,North Carolina,73,232,,,18,,,,Y
DT,Toledo,74,300,,,,,,,Y
DE,Tennessee,75,259,4.88,31,,117,6.96,4.44,Y
WR,USC,73,198,4.42,,12,,,,Y
WR,TCU,71,206,4.47,42,17,138,7.31,4.46,Y
OT,Washington State,77,315,4.96,29,24,118,7.44,4.4,Y
QB,North Dakota State,77,237,4.77,30.5,,118,6.86,4.15,Y
CB,Washington,73,186,4.47,33.5,,123,7.02,4.28,Y
CB,Utah,73,205,4.45,39,19,125,6.7,3.97,Y
TE,South Dakota State,77,256,,,23,,,,Y
RB,Penn State,71,211,4.49,36,20,124,6.89,4.19,Y
QB,Oklahoma,73,222,4.59,35,,125,,,Y
WR,Stanford,74,225,,,,,,,Y
LB,Colorado,73,228,4.49,35,21,127,6.96,4.26,Y
OG,Oregon State,76,303,5.19,26,,105,7.4,4.52,Y
OLB,Texas,73,236,4.68,38,20,124,6.78,4.15,Y
CB,West Virginia,74,209,4.59,33.5,16,120,6.97,4.26,Y
WR,North Carolina,76,221,4.53,,,,,,Y
CB,Pittsburgh,69,180,4.39,37,13,125,6.51,4,Y
S,Clemson,71,206,4.53,38,18,133,6.76,4.15,Y
EDGE,Florida State,76,251,4.53,39.5,,124,,4.28,Y
RB,San Diego State,68,176,4.48,33.5,5,117,,,Y
EDGE,Penn State,76,254,4.69,29.5,16,,,4.45,Y
OL,Auburn,77,306,5.02,29.5,23,114,,,Y
RB,West Virginia,70,208,4.47,33.5,14,120,6.83,4.28,Y
OT,TCU,78,320,5.26,29,23,113,8.26,5,Y
WR,West Virginia,71,191,4.5,32,8,118,6.83,4.2,Y
QB,Northwestern,76,222,,,,,,,Y
WR,Boise State,73,189,4.43,38.5,,122,7.07,4.21,Y
S,Nebraska,74,218,4.58,30.5,17,122,,,Y
CB,Kansas,71,199,4.62,,14,,,,Y
LB,Temple,73,235,4.51,32.5,14,121,7.07,4.24,Y
WR,Southern Miss,73,185,4.35,36.5,,125,7.28,4.36,Y
OL,Auburn,77,308,,,,,,,Y
DT,Washington,73,313,5.13,31.5,33,105,7.65,4.66,Y
S,LSU,73,191,4.61,37,16,123,6.86,4,Y
LB,Stanford,76,250,4.62,39,17,126,7.08,4.21,Y
DE,Florida,78,239,4.8,34.5,,128,7.01,4,Y
LB,Michigan,71,234,4.43,40.5,21,124,6.93,4.23,Y
DE,Kentucky,76,269,4.56,42,,138,,,Y
CB,Miami (FL),73,193,4.46,31.5,,,,,Y
S,Virginia Tech,74,220,4.47,41.5,,134,,,Y
OLB,Wisconsin,76,252,4.69,37,21,128,6.79,4.13,Y
WR,Notre Dame,76,238,4.42,40.5,19,126,,,Y
CB,Mississippi,69,176,4.46,33.5,15,120,6.81,4.2,Y
CB,Maryland,73,201,4.46,37.5,21,126,6.64,3.97,Y
WR,Oklahoma State,71,213,4.54,34.5,14,120,7.11,4.32,Y
WR,USC,73,215,4.54,32.5,15,120,,,Y
DL,Charlotte,75,248,4.7,33,,125,7.32,4.31,Y
RB,Pittsburgh,73,233,4.65,29,20,113,,,Y
WR,Toledo,70,183,4.53,33.5,15,123,7.09,4.45,Y
QB,Oklahoma State,77,235,4.9,26,,,,,Y
CB,Michigan State,74,192,4.5,37.5,,134,6.9,4.09,Y
WR,Auburn,73,212,4.43,41,23,131,6.98,4.06,Y
DT,South Carolina State,73,309,4.93,34.5,29,109,7.9,4.7,Y
OT,West. Michigan,78,320,5.31,23.5,19,102,7.87,4.8,Y
CB,Tennessee,71,188,4.52,34,11,120,6.81,,Y
CB,Ohio State,70,200,4.44,33,21,116,,4.33,Y
OT,LSU,78,305,5.23,23.5,23,100,8.19,4.89,Y
RB,Maryland,68,208,4.44,29.5,,116,,,Y
QB,Tennessee,75,216,4.64,33,,122,6.75,4.31,Y
TE,Michigan,80,265,4.9,29.5,12,110,7.4,4.53,Y
S,Penn State,74,202,,37,15,127,,4.32,Y
TE,Penn State,79,261,4.83,37.5,26,121,7.53,4.5,Y
TE,North Carolina State,71,225,4.54,34.5,18,121,6.93,4.28,Y
CB,Utah,75,215,4.48,34.5,15,117,6.64,4.34,Y
DL,Alabama,75,306,5.15,24.5,20,96,8.01,4.83,Y
S,Maryland,71,220,4.64,34.5,18,,,,Y
DT,Central Michigan,77,319,5.25,27,25,103,7.91,4.78,Y
DE,Miami (FL),75,267,4.79,34.5,27,114,7.17,4.25,Y
LS,Louisville,76,248,5.19,28,,115,,,Y
OLB,Washington,76,230,4.5,40,,130,7.2,4.42,Y
OT,Maryland,76,320,5.26,,26,90,,,Y
WR,Houston,69,182,4.72,33,,123,,,Y
DL,Nebraska,74,313,4.82,,27,,,4.52,Y
S,Louisville,73,218,4.62,,17,,,,Y
OLB,Temple,73,238,4.81,31,22,112,7.19,4.5,Y
DT,Alabama,76,321,,,21,,,,Y
RB,Wisconsin,73,215,4.52,35,19,126,7.04,4.07,Y
DE,Ohio State,77,269,4.86,32,24,120,6.89,4.21,Y
TE,Arkansas,77,250,4.79,,13,,,,Y
ILB,Miami (FL),71,236,4.78,32,27,113,,,Y
C,USC,77,298,5.12,,22,,,,Y
CB,Texas State,71,201,4.44,38,17,130,6.83,4.07,Y
ILB,Ohio State,76,254,4.68,33.5,20,124,,,Y
OLB,North Dakota State,75,255,4.77,34,27,120,7.1,4.25,Y
P,Texas A&M,74,212,4.95,,,,,,Y
DT,Arkansas,73,298,5,31,26,107,8,,Y
DL,South Carolina,77,324,,,,,,,Y
DE,Oregon,79,292,5.06,34,24,117,7.57,4.53,Y
WR,Arizona State,73,205,4.5,40,11,128,,,Y
OG,Stanford,76,312,5.32,29,30,99,7.62,4.64,Y
DL,Ohio State,76,266,4.79,33.5,29,116,7.1,4.14,Y
ILB,Alabama,73,229,,,,,,,Y
DE,Stanford,75,273,4.69,35,30,126,6.95,4.28,Y
DE,Oregon,79,291,5.05,32,,116,7.51,4.47,Y
OT,Notre Dame,80,309,,28.5,24,105,,,Y
WR,South Carolina,71,214,4.48,39,15,122,7.03,4.14,Y
WR,Washington,73,186,,,,,,,Y
S,Samford,73,221,4.53,,,124,,,Y
QB,Iowa,74,219,,31,,113,,,Y
CB,Colorado,75,198,4.45,40.5,,127,6.93,4.13,Y
WR,Baylor,77,226,,,23,,,,Y
CB,Mississippi State,71,182,4.45,,,,,,Y
OLB,BYU,75,236,4.64,38.5,21,119,6.9,4.28,Y
OLB,Virginia,75,247,4.6,35,,123,7.07,4.16,Y
P,Utah,74,218,4.63,32.5,,117,,,Y
TE,Oklahoma,78,252,4.8,33,14,116,6.85,4.32,Y
RB,Utah,71,210,4.41,35,14,125,7.19,4.19,Y
RB,South Carolina,69,217,4.61,34,17,116,7,4.18,Y
DE,North Carolina State,74,280,4.87,,28,,,,Y
WR,Georgia Tech,74,226,4.52,,,,,,Y
DE,Appalachian State,74,284,5.15,30,32,113,7.95,4.53,Y
CB,Kansas State,69,188,4.51,36.5,11,,,,Y
OT,Georgia,78,313,5.22,28,,103,7.9,4.78,Y
TE,Iowa,76,247,4.52,35,18,132,,,Y
LB,Arkansas,71,237,,33,24,117,,,Y
OL,West Virginia,78,306,5.35,26,20,106,7.87,5,Y
P,Clemson,77,229,5.18,,,,,,Y
OT,Mississippi,76,303,5.17,25,19,102,7.85,4.89,Y
WR,Louisiana Tech,68,181,4.63,33,13,117,6.74,4.01,Y
TE,Stanford,77,255,4.92,32,15,108,7.08,4.47,Y
S,Florida,73,208,,,16,,,,Y
TE,Georgia,77,244,4.78,34.5,21,120,7.18,4.46,Y
DT,Akron,73,319,5.04,28.5,25,108,7.73,4.65,Y
OLB,Utah,73,243,4.67,28.5,24,112,6.91,4.33,Y
QB,Louisiana Tech,76,234,4.56,32,,122,7.19,4.25,Y
RB,Florida,70,207,4.6,32,15,113,,,Y
WR,Michigan State,73,206,4.56,30.5,20,115,7.22,4.31,Y
WR,Tennessee,75,215,4.72,29,,119,,,Y
OG,Florida,80,355,5.21,23.5,20,97,8.23,4.78,Y
TE,South Carolina,77,244,4.73,,,,,,Y
RB,San Diego State,71,220,4.46,32.5,13,120,,,Y
LB,Texas Tech,73,240,4.54,,,,,,Y
OT,Texas A&M,78,324,5.27,32.5,24,109,,4.75,Y
DT,Michigan State,78,295,4.85,28.5,23,112,7.69,4.53,Y
S,Utah,73,195,4.48,35,,125,,,Y
LB,Tennessee,76,267,,,,,,,Y
DT,Alabama,75,307,5.21,31,,104,7.77,4.75,Y
C,LSU,78,310,5.15,27,26,107,7.89,4.81,Y
DE,Michigan,75,271,4.79,38.5,19,118,7.08,4.05,Y
WR,Mississippi,75,228,4.33,40.5,27,134,7.38,4.5,Y
DT,North Carolina,77,304,5.11,24.5,,101,7.93,4.63,Y
WR,Michigan,74,214,4.45,36,17,124,,,Y
WR,Kansas State,70,182,4.4,35.5,,121,6.89,4.07,Y
OL,LSU,74,327,5.24,30,27,108,,,Y
DE,USC,77,275,4.73,32.5,,118,7.24,4.39,Y
LB,Utah,74,237,4.64,32.5,30,116,6.9,4.03,Y
RB,Notre Dame,73,220,4.48,35.5,,121,,,Y
CB,Central Florida,73,194,4.38,38.5,17,132,6.87,4.14,Y
TE,Ohio State,78,257,4.76,30.5,17,111,7.05,4.2,Y
S,Michigan,73,216,4.47,33.5,17,115,6.96,4.27,Y
OT,Boise State,76,314,5.17,,23,,,,Y
S,Colorado,73,204,4.6,32.5,17,117,7.11,4.36,Y
TE,Washington,76,262,4.87,28,15,111,7.07,4.4,Y
WR,West Virginia,73,214,4.42,37,20,127,7.32,4.15,Y
OL,Wake Forest,76,322,5.2,31,33,108,7.76,4.95,Y
OT,San Diego State,77,307,5.09,31,25,113,7.9,4.66,Y
TE,Stanford,79,252,4.77,32.5,18,109,7.15,4.46,Y
OG,West Virginia,76,307,5.2,29.5,31,113,7.56,4.58,Y
RB,Miami,70,217,4.58,33.5,,119,7.18,4.32,Y
OLB,Central Florida,73,227,4.38,,20,117,,,Y
LB,Washington,73,230,4.56,34.5,21,121,6.85,4.09,Y
S,Oklahoma State,75,200,4.45,34.5,18,122,,,Y
DT,Maryland,76,291,4.95,29,24,,7.95,4.37,Y
DL,Syracuse,75,264,4.69,35.5,25,119,7.32,4.32,Y
P,Texas,74,208,,,,,,,Y
OT,Ohio State,76,299,5.5,24,,102,8.32,4.99,Y
CB,Towson,73,195,4.6,36.5,15,124,6.97,3.96,Y
RB,Arkansas,70,217,4.59,28.5,18,113,,,Y
S,Cincinnati,73,204,4.56,33,17,118,,,Y
RB,Miami (FL),70,201,4.48,39.5,17,130,7.07,4.31,Y
DE,Oregon State,77,246,4.72,36,22,121,7.28,4.28,Y
DL,Florida State,75,294,5.08,25.5,22,101,8.13,5.07,Y
OT,Mississippi State,77,331,5.55,23,,98,8.19,5.06,Y
WR,Florida,73,197,4.46,36.5,16,124,7.05,4.26,Y
WR,California,74,203,4.64,31,,111,7.13,4.2,Y
RB,Oklahoma State,73,218,4.58,37,23,130,,,Y
TE,LSU,77,248,4.66,36.5,,123,7.51,4.62,Y
RB,Georgia,73,222,4.52,,17,,,,Y
OT,Wisconsin,79,321,5.46,28.5,16,96,8.28,4.87,Y
OT,Louisville,76,323,5.08,,,,,,Y
QB,Oregon State,78,229,5.14,31,,105,7.29,4.39,Y
OT,Iowa,78,313,5.31,32,17,101,7.84,4.77,Y
ILB,Baylor,73,234,4.6,35,26,117,7.15,4.36,Y
DE,Memphis,75,275,4.88,31,16,111,7.39,4.58,Y
CB,Florida,70,204,4.5,39,15,130,,3.98,Y
DT,Washington,76,347,5.1,,41,,,,Y
OL,Iowa,77,320,4.85,36.5,24,121,7.65,4.68,Y
TE,Alabama,78,251,4.51,30,22,121,6.85,4.16,Y
QB,Florida State,76,231,4.97,28.5,,103,7.16,4.36,Y
LB,LSU,73,237,4.42,39.5,22,118,7.07,4.17,Y
OT,Penn State,78,338,5.27,32,26,109,7.95,4.79,Y
DE,East. Kentucky,74,251,4.8,35,25,121,7.21,4.35,Y
CB,Central Michigan,73,195,4.42,41.5,14,126,,,Y
S,Minnesota,69,203,4.45,36,,124,,,Y
S,Texas A&M,73,199,,,14,,,,Y
CB,North Carolina,71,200,4.54,35,18,118,6.9,4.28,Y
K,Florida State,73,207,4.96,,,,,,Y
OG,Hobart & William Smith,76,307,4.98,30.5,30,108,7.33,4.47,Y
CB,Auburn,73,203,4.53,34,16,124,,,Y
ILB,LSU,74,243,,,20,,,,Y
RB,Vanderbilt,70,214,4.51,32,,117,,,Y
WR,Penn State,73,209,4.42,36,19,126,7.01,4,Y
OT,Humboldt State,78,305,5.39,26.5,24,97,8.04,4.84,Y
CB,Auburn,73,206,4.3,41,16,130,7.02,4.19,Y
S,Kentucky,70,205,,,,,,,Y
DL,Iowa,79,271,4.82,35.5,18,118,6.95,4.23,Y
CB,North Carolina Central,71,189,4.47,36,18,122,6.88,4.09,Y
S,Pittsburgh,71,195,,,21,,,,Y
OLB,LSU,73,227,4.55,36,24,121,7.14,4.2,Y
K,Utah,73,232,,,,,,,Y
OT,UCLA,77,311,4.98,28,,104,8.15,5.11,Y
WR,Minnesota,73,206,,,,,,,Y
WR,Nebraska,73,197,4.42,41.5,7,129,6.66,4.15,Y
RB,Boise State,69,214,4.49,35.5,,121,6.93,4.28,Y
OLB,Oklahoma,73,235,4.7,37.5,21,121,7.07,4.36,Y
WR,Utah,70,195,4.51,33,10,113,6.97,4.26,Y
DL,Nebraska,73,308,4.75,,32,,,,Y
FB,Northwestern,73,239,4.6,38.5,30,123,7.12,4.12,Y
ILB,Wisconsin,74,238,,,18,,,,Y
DL,Missouri,76,296,5.19,24.5,28,98,7.97,4.82,Y
DT,USC,73,331,5.45,24.5,28,91,7.83,5,Y
FB,Hawaii,73,247,5.02,31.5,30,110,7.24,4.33,Y
LB,Temple,74,236,4.69,35,21,121,7.38,4.41,Y
RB,Louisiana-Lafayette,68,188,4.42,37.5,20,120,,,Y
CB,USC,70,186,4.42,36,,122,,,Y
LB,Alabama,75,232,,30,,116,6.95,4.36,Y
OL,Georgia,78,350,5.32,29,26,110,8.26,5.07,Y
QB,Oregon,76,222,4.52,36,,121,6.87,4.11,Y
WR,West. Michigan,75,209,,,,,,,Y
OT,Michigan State,78,308,5,30,25,103,7.63,4.57,Y
DE,Clemson,77,277,4.86,,,,,,Y
WR,Oklahoma,77,237,4.49,33.5,13,119,6.89,4.45,Y
EDGE,Boston Col.,75,252,4.64,36,24,119,6.88,4.19,Y
DT,Penn State,76,314,5.32,26,25,96,7.84,4.75,Y
RB,Alabama,75,247,4.54,37,22,130,7.2,4.38,Y
WR,Mississippi,73,226,4.49,36.5,19,120,,,Y
CB,LSU,73,197,4.46,35.5,,123,6.94,4.36,Y
TE,Florida International,75,248,4.62,38,22,127,,4.18,Y
OG,Utah,77,335,5.32,26.5,26,95,8.09,4.89,Y
WR,Western Kentucky,71,203,4.5,33.5,13,132,6.57,4.21,Y
OL,Charlotte,75,316,5.23,26,23,107,7.94,4.83,Y
RB,Appalachian State,70,203,4.41,37,20,125,,,Y
DT,Auburn,76,318,5.02,31,20,101,7.5,4.57,Y
FB,Alabama,71,254,4.94,33.5,23,114,7.56,4.4,Y
S,Iowa,71,210,4.48,37,14,123,6.81,4.1,Y
RB,Minnesota,71,229,4.81,38.5,17,121,,,Y
WR,Massachusetts,74,194,4.55,33.5,11,114,,,Y
S,Arizona,73,206,4.41,38.5,25,121,6.89,4.24,Y
ILB,UCLA,73,231,4.7,31.5,17,120,,,Y
CB,Southern Utah,73,203,4.53,37,11,120,7.08,4.19,Y
EDGE,Georgia,74,251,,,,,,,Y
DL,North Carolina State,74,297,5.05,29,29,118,7.89,4.51,Y
OG,Arkansas,76,314,5.45,23.5,22,90,7.94,5.02,Y
QB,Washington State,76,215,,26.5,,103,,,Y
C,Boston Col.,74,306,5.5,27,29,96,7.66,4.58,Y
OG,Tenn-Chattanooga,76,307,5.16,26.5,26,106,7.55,4.73,Y
QB,Hawaii,75,215,4.58,36,,121,7.13,4.52,Y
DE,TCU,75,242,4.74,29.5,25,120,7.2,4.44,Y
WR,William & Mary,73,210,4.41,38,16,122,6.96,4.08,Y
DL,Ohio State,77,264,,,,,,,Y
WR,Memphis,73,228,4.39,35,16,118,,,Y
OL,LSU,76,321,5.05,,,,,,Y
WR,Liberty,76,223,4.6,36,22,127,7.33,4.55,Y
OL,San Diego State,75,309,5.34,32,,108,8.14,4.65,Y
LB,Michigan,71,224,4.56,33,30,120,,,Y
S,Arkansas,73,206,4.6,34.5,24,125,,,Y
DL,North Carolina State,76,265,4.6,32,28,123,7.35,4.52,Y
QB,Ohio State,75,231,5.04,28.5,,,,,Y
DT,Alabama,75,286,5,30,21,108,7.49,4.5,Y
WR,TCU,74,202,4.5,41,14,131,6.84,4.08,Y
EDGE,Mississippi State,78,260,4.41,36,21,125,7,4.29,Y
OT,Iowa,77,319,5.05,,23,,,,Y
DE,Mississippi State,77,271,4.74,34,24,121,7.07,4.28,Y
OLB,Alabama,74,253,4.78,,,,,,Y
OLB,USC,73,226,4.58,27,16,114,,,Y
RB,LSU,70,224,4.49,31.5,15,,,,Y
OT,Louisville,77,298,5.33,,19,,,,Y
WR,Ohio State,73,208,4.35,37.5,18,125,7.01,4.15,Y
CB,UCLA,73,206,4.35,38,,136,6.94,4.12,Y
CB,Virginia Tech,71,187,4.48,,15,,,,Y
RB,Florida,74,231,4.61,31.5,20,112,,4.2,Y
WR,Duke,68,185,4.56,37,10,115,7.17,4.32,Y
S,Penn State,74,198,4.34,41,16,131,6.56,4.03,Y
OG,Alabama,77,310,5.48,,,,,,Y
RB,Stanford,69,200,,,18,,,,Y
RB,Oklahoma,71,233,4.65,33,30,116,7.26,4.37,Y
S,Michigan State,74,212,4.42,35,,125,,,Y
ILB,Arkansas,73,236,4.81,35,25,120,7.66,,Y
DT,Temple,75,299,5.03,28,32,108,7.78,4.71,Y
OT,Alabama,76,307,5.2,22.5,20,,7.83,4.7,Y
TE,Arkansas,77,252,4.69,29,,116,,,Y
DT,Virginia Tech,75,329,5.37,23.5,,96,7.95,4.83,Y
S,Virginia Tech,70,200,4.57,33,21,109,6.95,4.4,Y
QB,Indiana,78,234,5.02,29,,105,,,Y
ILB,Alabama,73,228,,,20,,,,Y
C,Wyoming,76,312,5.54,26.5,19,97,7.6,4.47,Y
WR,North Carolina State,74,221,4.6,32.5,18,117,7.15,4.32,Y
WR,Georgia State,75,219,4.44,41,19,136,6.82,4.28,Y
S,Louisville,76,217,,31.5,12,121,,,Y
ILB,Boston Col.,71,243,4.86,32,16,112,7.33,4.54,Y
CB,Virginia Tech,73,180,4.48,33.5,16,113,,4.45,Y
RB,Georgia,71,219,4.31,30.5,25,,,,Y
EDGE,Oklahoma State,75,252,4.65,37.5,22,126,,,Y
WR,SMU,71,203,4.55,33.5,17,116,6.91,4.19,Y
WR,Air Force,75,220,4.62,31.5,13,120,6.77,4.46,N
EDGE,Akron,75,243,4.6,39,19,122,7,4.44,N
WR,Akron,74,226,4.6,35,16,125,6.87,4.12,N
S,Alabama,70,194,,,,,,,N
CB,Alabama,73,199,,33,11,121,7.09,4.37,N
CB,Alabama,73,198,4.35,31.5,14,126,6.78,4.11,N
WR,Alabama,74,196,4.41,31,,116,6.9,4.2,N
DE,Alabama,76,297,4.83,31.5,28,111,7.98,4.62,N
DT,Alabama,74,311,4.95,28.5,27,107,7.58,4.71,N
CB,Alabama,73,183,4.63,33,,,,,N
OT,Alabama,77,313,5.38,26,20,97,,,N
DE,Alabama,74,265,4.99,28,17,108,7.74,4.69,N
ILB,Alabama,73,254,4.93,,,,,,N
WR,Alabama,70,182,4.63,32.5,8,119,6.91,4.19,N
QB,Alabama,71,218,4.57,30.5,,115,,,N
WR,Alabama,71,193,4.44,34.5,,118,6.97,4.18,N
OT,Alabama State,77,322,5.05,29.5,21,103,8.34,4.87,N
RB,Appalachian State,70,212,,,27,,,,N
RB,Arizona,65,185,4.61,34.5,19,118,7,4.15,N
WR,Arizona,75,209,4.65,33.5,9,,6.99,4.14,N
OL,Arizona State,77,300,,,20,,,,N
P,Arizona State,73,226,4.79,34.5,25,108,,4.72,N
RB,Arizona State,69,218,4.7,29.5,12,115,,,N
DE,Arizona State,75,296,5.16,30,25,105,,,N
WR,Arizona State,70,193,4.57,35.5,14,117,6.75,4.07,N
LB,Arkansas,73,234,4.69,33,18,111,7.38,4.32,N
TE,Arkansas,76,253,4.81,34,16,119,7.3,4.34,N
CB,Arkansas,71,209,4.61,31,11,111,,,N
QB,Arkansas,73,210,4.81,29.5,,112,7.18,4.48,N
CB,Arkansas,73,185,4.63,32.5,6,117,7.01,4.15,N
P,Arkansas,75,210,,,,,,,N
ILB,Arkansas,74,240,4.79,29.5,18,115,6.8,4.25,N
WR,Arkansas,73,212,4.64,,16,,,,N
WR,Arkansas,73,190,4.74,30,10,112,6.85,4.12,N
OT,Arkansas,82,309,5.42,26,,97,7.61,5.01,N
OT,Arkansas,76,335,5.55,22.5,19,94,8.72,5.06,N
TE,Arkansas,76,255,4.72,,15,,,,N
WR,Arkansas State,73,212,4.62,36,11,123,7.35,4.5,N
EDGE,Arkansas State,74,253,4.88,,23,,,,N
OT,Army,78,291,,,,,,,N
LB,Auburn,77,280,4.89,29,21,116,,,N
CB,Auburn,68,183,4.39,35.5,11,124,,,N
P,Auburn,74,213,5.09,,,,,,N
WR,Auburn,70,189,,35,12,124,7.09,4.23,N
EDGE,Auburn,74,249,4.79,,,116,,,N
RB,Auburn,73,233,4.74,33.5,22,116,,,N
S,Auburn,71,189,4.53,34,,121,,,N
S,Auburn,71,205,,,20,,,,N
RB,Auburn,70,228,4.64,32.5,20,111,7,4.21,N
OLB,Auburn,74,240,4.97,29,,113,,,N
CB,Auburn,69,186,4.33,36,19,123,7.25,4.25,N
ILB,Auburn,73,248,4.83,,21,,,,N
WR,Auburn,74,229,4.72,30,14,121,7.43,4.47,N
OT,Auburn,77,328,5.39,,,,8.22,4.91,N
C,Auburn,75,296,5.31,27.5,23,107,8.14,4.7,N
CB,Auburn,73,207,4.54,37.5,12,124,6.96,4.15,N
S,Auburn,71,197,4.59,37,15,128,6.95,4.11,N
EDGE,Ball State,73,249,,,25,110,,,N
RB,Ball State,69,220,4.8,35.5,16,117,7.63,4.5,N
CB,Baylor,69,186,4.59,33,12,120,7.01,4.3,N
RB,Baylor,68,205,4.55,39,15,123,,4.03,N
S,Baylor,71,190,4.61,35.5,12,133,7.09,4.12,N
CB,Baylor,75,189,4.44,39.5,8,131,,,N
WR,Baylor,71,182,4.41,37,13,119,,,N
QB,Baylor,75,213,,,,,,,N
DE,Baylor,80,287,4.96,32,23,123,7.53,4.56,N
WR,Baylor,70,209,4.44,,,,,,N
P,Baylor,76,227,5.06,,,,,,N
OL,Boise State,77,309,5.13,34,26,109,7.85,4.73,N
