player,team,gp,mpg,fgm,fga,fg_pct,threepm,threepa,three_pct,ftm,fta,ft_pct,tov,pf,orb,drb,rpg,apg,spg,bpg,ppg,pick,conference,college,CollegeBudgetFile,latitude,longitude,ExpensesMensBasketball,RevenueMensBasketball
Ben Simmons,LSU,33,34.9,6.5,11.7,0.56,0,0.1,0.333,6,9,0.67,3.4,2.8,3.1,8.6,11.8,4.8,2,0.8,19.2,1,SEC,LSU,Louisiana State University and Agricultural & Mechanical College,30.4150707,-91.1791769,35319160,91950610
Jarell Martin,LSU,33,35.1,6.1,12,0.509,0.4,1.6,0.269,4.2,6.2,0.69,2.8,2.8,3,6.3,9.2,1.8,1.2,0.7,16.9,25,SEC,LSU,Louisiana State University and Agricultural & Mechanical College,30.4150707,-91.1791769,35319160,91950610
Jordan Mickey,LSU,31,34.9,6.2,12.2,0.504,0,0.3,0.111,3.1,4.7,0.646,3.3,2.6,3.2,6.7,9.9,1.3,0.9,3.6,15.4,33,SEC,LSU,Louisiana State University and Agricultural & Mechanical College,30.4150707,-91.1791769,35319160,91950610
Tremont Waters,LSU,33,32.4,5.2,12.1,0.43,1.7,5.2,0.327,3.2,3.9,0.812,3.5,1.9,0.3,2.5,2.8,5.8,2.9,0.1,15.3,51,SEC,LSU,Louisiana State University and Agricultural & Mechanical College,30.4150707,-91.1791769,35319160,91950610
Alize Johnson,MSU,33,31.2,5.2,12.1,0.43,1.2,4.4,0.281,3.3,4.4,0.759,2.2,2.1,3.2,8.5,11.6,2.8,0.5,0.4,15,50,Missouri Valley,Missouri State,Missouri State University-Springfield,37.2005589,-93.2828693,3846066,3846066
Branden Dawson,MSU,35,30.1,5.2,9.7,0.535,0,0,0,1.5,3,0.49,1.9,2.1,2.9,6.2,9.1,1.7,1.2,1.7,11.9,56,Big Ten,Michigan State,Michigan State University,42.7296495,-84.4815268,33928232,75545976
Cameron Payne,MSU,35,32.2,7,15.3,0.456,2.4,6.4,0.377,3.8,4.8,0.787,2.5,2.1,0.6,3.1,3.7,6,1.9,0.5,20.2,14,Ohio Valley,Murray State,Murray State University,36.6163842,-88.3214979,3344324,3514694
Denzel Valentine,MSU,31,33,6.6,14.3,0.462,3.4,7.5,0.444,2.6,3.1,0.853,2.7,1.7,0.8,6.7,7.5,7.8,1,0.2,19.2,14,Big Ten,Michigan State,Michigan State University,42.7296495,-84.4815268,33928232,75545976
Deyonta Davis,MSU,35,18.6,3.4,5.7,0.598,0,0,0,0.7,1.1,0.605,0.9,2.3,2.1,3.4,5.5,0.7,0.3,1.8,7.5,31,Big Ten,Michigan State,Michigan State University,42.7296495,-84.4815268,33928232,75545976
Ja Morant,MSU,33,36.6,8,16.1,0.499,1.7,4.8,0.363,6.7,8.2,0.812,5.2,1.5,1.2,4.5,5.7,10,1.8,0.8,24.5,2,Ohio Valley,Murray State,Murray State University,36.6163842,-88.3214979,3344324,3514694
