Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Alex Caruso,TAMU,37,28.8,3,6,0.502,0.8,2.1,0.368,1.4,1.8,0.785,2.4,2.5,1.1,2.5,3.6,5,2.1,0.4,8.1
Nick Osborne,IUPUI,30,20.4,3.4,7.4,0.453,0.5,1.2,0.444,0.9,1.2,0.743,1.1,3.4,2,4.1,6,0.4,0.4,0.4,8.1
Leo Vincent,SIU,32,21.3,2.6,6.2,0.416,1.1,3.4,0.33,1.9,2.2,0.845,1.5,1.5,0.4,1.6,2,1.1,0.8,0,8.1
Quincy Smith,UH,34,26.6,3,6.6,0.456,0.5,1.7,0.293,1.6,3.3,0.469,1.5,2.1,0.9,2.4,3.2,2.5,1.7,0.1,8.1
Jordan Strawberry,MER,34,25.4,2.8,7.5,0.378,1,2.8,0.358,1.5,1.8,0.833,1.8,1.4,0.6,1.8,2.4,3.7,1,0,8.1
Mike Aaman,WC,34,19.2,3.2,6.4,0.505,0,0,0,1.6,2.8,0.596,1.4,2.6,2.4,3.1,5.5,0.6,0.4,0.6,8.1
James Demery,SJU,36,21.6,3,5.9,0.505,0.3,1.2,0.238,1.8,2.8,0.66,0.8,1.7,1.1,2.5,3.6,0.5,0.4,0.1,8.1
Patrick Onwenu,ASU,29,25.1,2.4,5,0.479,0,0.3,0,3.3,4.5,0.731,1.8,2.8,1.7,2.3,4,0.8,0.3,1,8.1
Landry Nnoko,CLEM,31,22.3,3.3,5.9,0.552,0,0,0,1.6,2.5,0.636,1.5,3,2.2,3.6,5.7,0.8,0.2,2.3,8.1
Mike Gesell,UI,33,29.9,2.8,7,0.392,0.5,1.4,0.348,2.1,2.8,0.742,2,2.1,0.5,2.7,3.2,6.2,1.3,0.2,8.1
Zoran Talley,ODU,35,23,3.5,6.9,0.51,0.1,0.4,0.231,0.9,1.3,0.711,0.9,1.4,1.2,3.3,4.5,1.6,0.5,0.1,8.1
Cezar Guerrero,CSUF,35,25.4,2.6,6.7,0.389,1.4,3.8,0.366,1.5,1.9,0.765,1.3,2.7,0.5,2.5,3.1,2.4,0.9,0,8.1
A.J. Spencer,LBSU,35,25.3,3.3,7.5,0.437,0.9,2.4,0.381,0.7,1,0.639,0.9,2.3,0.5,2.4,2.9,1.5,0.4,0.1,8.1
Jonathan Laurent,RU,27,24.3,2.9,6.3,0.465,0.2,0.9,0.24,2,2.7,0.73,1.6,2.3,1.2,3.9,5.1,0.9,0.5,0.2,8.1
Robert Johnson,IU,30,24.9,2.8,6.2,0.449,1.7,3.8,0.447,0.8,1.2,0.639,1.7,1.8,0.4,2.9,3.3,3.1,0.6,0.2,8.1
Luke Meikle,POLY,30,19.5,2.7,6.9,0.386,1,2.9,0.36,1.7,2.2,0.773,0.6,2.2,0.6,2.5,3.1,0.6,0.3,0.3,8.1
Matt Williams,UCF,30,25.9,2.7,7.4,0.365,1.8,5.6,0.329,0.8,1.1,0.735,0.8,1.5,0.4,2.2,2.6,0.9,0.4,0,8.1
Dylan Cox,USMA,31,27.8,3,5.9,0.505,0.2,0.6,0.278,2,2.9,0.685,2.5,2.4,1.2,3.3,4.5,4.7,0.7,0.5,8.1
Sheldon Jeter,PITT,32,18.6,3.2,6.1,0.533,0.2,0.7,0.217,1.4,1.7,0.833,0.8,2.2,1.7,3.1,4.8,0.7,0.7,0.8,8.1
Tashombe Riley,SCSU,34,21.4,3.5,7.7,0.456,0.1,0.4,0.143,0.9,1.2,0.8,0.7,2.4,1.8,3.4,5.1,0.4,0.3,0.2,8.1
Trey Chapman,VMI,26,25.8,3.2,7.7,0.415,0.7,2,0.333,1,1.8,0.565,1.7,3.1,1.5,3.2,4.7,1,0.5,0.6,8
Joel Awich,POLY,28,21.8,2.9,7.3,0.395,0.8,2.7,0.28,1.5,2,0.75,1.3,2.1,1.1,3.2,4.2,0.8,0.3,1,8
Zachary Hamilton,PVAMU,31,25.8,2.8,8.2,0.341,0.7,2.5,0.269,1.7,2.4,0.74,1.3,2.1,1.5,2.4,3.9,0.8,0.7,0.4,8
Torlorf Thomas,ASU,31,26.9,2.3,6,0.374,1.2,3.4,0.356,2.3,3.1,0.75,2.1,2.3,0.6,1.8,2.5,1.9,0.7,0.1,8
Josh Kozinski,CMU,33,22.4,2.7,7.4,0.365,2.5,7.1,0.359,0.1,0.1,0.75,0.2,2.2,0.4,1.7,2,0.5,0.6,0.2,8
Shavar Newkirk,SJU,36,23.6,2.5,6.6,0.38,0.6,2.1,0.303,2.4,3.3,0.729,1.5,0.9,0.4,2,2.4,2.6,0.8,0.1,8
Eric Stuteville,CSUS,31,20.4,3.2,5.7,0.565,0,0,0,1.5,2.9,0.533,1.4,2.8,1.7,3,4.7,0.3,0.1,1.9,8
Chazz Patterson,SPC,30,31.8,2.6,7.4,0.35,1.4,4.5,0.306,1.4,2.1,0.694,1.9,1.8,0.3,4.3,4.6,1.7,1.4,0.4,8
Darien Walker,VAL,36,20.1,2.9,7.3,0.39,1.1,3.4,0.336,1.1,1.5,0.759,1.1,1.6,0.8,2.8,3.6,1,0.6,0.1,8
Derrick Gordon,SHU,34,23.6,2.9,7.1,0.405,0.4,1.6,0.278,1.8,3.1,0.587,1.9,2,1.1,2.1,3.3,1.6,1,0.2,8
Milik Yarbrough,SLU,28,19.9,2.9,7.1,0.404,0.6,1.6,0.356,1.7,2.9,0.593,1.7,1.8,0.8,3.9,4.7,1.5,0.4,0.2,8
Jarred Dixon,MSU,30,24.2,3,7.4,0.41,0.4,1.4,0.268,1.6,2.1,0.734,1,2,0.7,1.5,2.3,1.5,1.3,0.1,8
Malik Harmon,SFU,27,29.7,2.2,7.4,0.299,1.4,4.3,0.328,2.1,3.1,0.699,1.8,1.8,0.4,2.1,2.6,3,1,0,8
Julion Pearre,USU,31,23.1,2.9,6.9,0.425,1.3,3.9,0.342,0.8,1.3,0.625,1.1,2.2,0.2,1.5,1.7,1.5,0.6,0.2,8
Matt Rafferty,FU,35,24,2.8,5.7,0.483,0.5,1.5,0.321,1.9,2.5,0.791,1.3,2,2.4,4.3,6.7,1.8,1,0.9,8
Kyle Davis,DAY,33,26,2.8,5.5,0.497,0.6,1.9,0.339,1.8,2.6,0.69,1.3,2.4,0.5,3.1,3.5,2.1,1.2,0.2,8
Damian Young,MVSU,34,20,2.7,7.6,0.359,1,3.1,0.324,1.5,1.9,0.794,1.6,1.9,0.7,1.9,2.6,0.9,1.6,0.3,7.9
P.J. Boutte,CIT,31,25.4,2.8,6.7,0.418,0.6,2.4,0.247,1.7,2.6,0.659,2.6,2.4,1.5,2.7,4.2,5.7,1.6,0,7.9
Marquis Vance,ASU,30,29.4,2.5,7.4,0.338,1,3,0.322,2,3.3,0.602,2,1.9,1.5,3.9,5.4,1.9,0.4,0.6,7.9
Michael Green,NAU,29,24.3,2.8,7.9,0.355,1.4,4.1,0.356,0.9,1.4,0.65,1.9,1.1,0.3,1.9,2.3,1.9,0.8,0,7.9
RaShawn Stores,MAN,28,29.5,2.4,6.1,0.395,1.6,3.8,0.419,1.5,2.2,0.667,1.7,2.7,0.6,1.7,2.2,3,1.4,0,7.9
Antravious Simmons,FGC,34,16.5,3.3,6.1,0.541,0,0,0,1.3,2.1,0.625,1.1,3,1.7,3.5,5.2,0.7,0.4,0.4,7.9
Mike Thomas,UH,34,21.8,2.9,5.6,0.521,0.2,0.9,0.188,1.9,3.3,0.568,1.4,2.9,1.9,3.7,5.6,0.8,0.3,0.4,7.9
Rob Ukawuba,NJIT,33,21.3,2.7,6,0.442,0.7,2.1,0.329,1.9,2.7,0.697,1,2.2,0.8,2.5,3.3,1.7,0.6,0.2,7.9
"Galen Robinson, Jr.",U of H,32,24.3,3,6.6,0.458,0.6,1.8,0.305,1.3,1.8,0.695,1.6,2,0.3,2.1,2.4,3.4,1,0.1,7.9
Kodi Justice,ASU,32,24.8,2.6,6.7,0.394,1.9,4.7,0.4,0.8,1,0.758,1.7,2.4,0.4,1.8,2.2,2.4,0.9,0.2,7.9
Cody Joyce,UMBC,29,20.9,2.9,5.9,0.488,0,0,0,2.1,3,0.701,1.3,2.6,1.1,2.7,3.8,0.4,0.3,0.2,7.9
Zylan Cheatham,SDSU,38,20.8,2.4,4.6,0.528,0.1,0.4,0.176,2.9,4.1,0.716,1.9,2.3,1.6,3.8,5.4,0.9,0.6,0.7,7.9
Kenny Jones,APSU,36,24,3.4,6.4,0.528,0.1,0.3,0.364,1.1,2.5,0.418,1.6,2.4,1.4,3.9,5.3,1.3,0.8,0.5,7.9
Eli Pepper,LIP,33,23,3.1,6,0.513,0.4,1.2,0.293,1.4,2.6,0.541,1.8,2.4,1.9,5.8,7.7,1.6,0.3,0.9,7.9
Jordan Andrews,YSU,32,20.8,2.4,6.8,0.352,1.6,4.2,0.368,1.5,2,0.738,1.4,2.5,0.7,2.2,2.8,0.9,0.9,0.1,7.9
Jarryn Skeete,UB,35,27.8,2.5,7.9,0.316,1.7,5.3,0.33,1.1,1.6,0.702,1.3,2.2,0.6,2.6,3.2,2.2,0.9,0.1,7.9
Charles Callison,WSU,27,24.8,3,7.6,0.39,0.9,2.8,0.32,1,1.6,0.667,1.7,2.1,0.3,1.3,1.6,3,1.1,0.1,7.9
Justin Coleman,UA,33,26.2,2.2,7.4,0.3,1.2,4.5,0.272,2.2,2.5,0.89,2,1.4,0.2,1.7,2,3.3,0.7,0,7.8
Zach Gengler,PSU,31,22.1,2.8,6.1,0.458,1,3,0.319,1.3,1.5,0.848,1,2.5,0.3,1.9,2.2,2.5,1.2,0.2,7.8
Terrence Phillips,MU,31,26.2,2.6,6.8,0.382,0.9,2.9,0.322,1.7,2.3,0.722,2.3,3.5,0.6,3.5,4.2,3.5,1.3,0.1,7.8
